"","words","term.freq","doc.freq"
"1","commerce",3,3
"2","canada.extract",1,1
"3","letter",122,83
"4","population",69,41
"5","canada",137,48
"6","reckoned",1,1
"7","souls",7,6
"8","whilst",15,13
"9","exports",12,7
"10","never",72,49
"11","exceeded",5,3
"12","two",279,133
"13","millions",33,20
"14","livres",2,2
"15","tournois",1,1
"16","imports",7,4
"17","must",186,93
"18","greatly",25,18
"19","even",80,57
"20","conjecture",1,1
"21","differences",3,3
"22","can",151,81
"23","formed",32,28
"24","present",176,94
"25","canadas",7,6
"26","may",371,145
"27","rated",3,3
"28","great",309,151
"29","augmentation",3,3
"30","appear",28,25
"31","will",575,172
"32","found",102,64
"33","surpassed",2,2
"34","proportional",2,2
"35","ratio",5,5
"36","population.from",1,1
"37","varied",4,4
"38","chiefly",20,19
"39","wheat",31,19
"40","furs",5,4
"41","peltry",1,1
"42","last",224,125
"43","years",158,84
"44","increased",18,15
"45","surprising",5,5
"46","sum",50,33
"47","sterling",26,19
"48","shall",178,67
"49","presently",3,2
"50","perceive",4,4
"51","following",121,92
"52","estimate",10,10
"53","much",207,107
"54","truth",14,10
"55","skims",1,1
"56","grain",21,16
"57","flour",19,11
"58","biscuit",3,3
"59","lumber",2,2
"60","descriptions",11,10
"61","pot",2,2
"62","pearl",1,1
"63","ashes",4,4
"64","beets",1,1
"65","pork",12,8
"66","sundries",1,1
"67","tedious",3,3
"68","particularise",1,1
"69","hulls",1,1
"70","masts",5,5
"71","yards",14,10
"72","vessels",82,43
"73","built",7,7
"74","province",54,31
"75","total",28,25
"76","domestic",13,11
"77","produce",60,42
"78","sundry",3,3
"79","goods",33,23
"80","imported",13,11
"81","exported",2,2
"82","commissions",6,6
"83","additional",24,18
"84","charges",9,5
"85","per",94,42
"86","cent",26,14
"87","amounts",8,6
"88","dutiable",2,1
"89","articles",43,24
"90","quebec",59,34
"91","impossible",14,13
"92","ascertain",9,9
"93","value",41,32
"94","safely",7,7
"95","conlude",1,1
"96","make",100,64
"97","importans",1,1
"98","one",399,149
"99","million",9,7
"100","leaving",28,26
"101","balance",1,1
"102","favour",40,31
"103","provinces",18,13
"104","ago",51,44
"105","appeared",56,42
"106","incredible",3,3
"107","property",68,47
"108","carried",55,46
"109","whose",62,45
"110","tonnage",7,6
"111","navigated",1,1
"112","seamen",8,7
"113","freight",4,4
"114","primage",1,1
"115","nine",28,24
"116","guineas",6,5
"117","ton",8,6
"118","without",151,86
"119","taking",49,42
"120","consideration",35,27
"121","britain",67,43
"122","gross",5,3
"123","amount",58,37
"124","cargoes",11,5
"125","landed",35,27
"126","exceed",10,10
"127","tenth",5,4
"128","united",202,72
"129","kingdom.our",1,1
"130","become",47,38
"131","considerable",60,46
"132","states",229,88
"133","thence",24,21
"134","since",84,66
"135","respectable",36,31
"136","intelligent",9,9
"137","american",110,72
"138","merchants",19,18
"139","begun",6,6
"140","settle",14,13
"141","amongst",37,28
"142","believe",35,30
"143","scale",13,10
"144","turned",9,8
"145","thus",63,45
"146","british",162,75
"147","industry",26,20
"148","commencing",3,3
"149","run",14,11
"150","channel",7,7
"151","thought",37,22
"152","jamaica",19,11
"153","royal",61,33
"154","gazette",22,22
"155","kingston",29,13
"156","sept",39,15
"157","ship",121,68
"158","nestor",1,1
"159","belonging",44,37
"160","glasgow",23,16
"161","seized",11,10
"162","several",109,71
"163","months",37,35
"164","officers",53,38
"165","majesty's",53,37
"166","customs",2,2
"167","port",91,51
"168","pro",8,7
"169","vided",1,1
"170","register",4,3
"171","according",28,22
"172","act",78,39
"173","parliament",40,28
"174","condemned",3,3
"175","court",56,30
"176","vice",5,4
"177","admiralty",7,6
"178","held",28,19
"179","spanish",26,23
"180","town",142,71
"181","friday",21,18
"182","week",44,31
"183","sold",31,23
"184","morning",49,38
"185","dispatches",8,8
"186","received",135,93
"187","boston",9,9
"188","brought",69,48
"189","sally",1,1
"190","capt",32,20
"191","walker",4,3
"192","liverpool",20,17
"193","dated",67,56
"194","november",20,15
"195","contain",18,18
"196","account",68,55
"197","arrival",34,32
"198","ships",60,44
"199","newfoundland",14,10
"200","halifax",18,12
"201","provisions",69,35
"202","kinds",10,10
"203","plentiful",9,8
"204","reasonable",9,9
"205","latest",4,4
"206","accounts",47,39
"207","west",96,47
"208","indies",26,22
"209","say",56,44
"210","supply",42,29
"211","islands",67,28
"212","either",32,28
"213","possibly",13,13
"214","obtained",38,28
"215","consequence",57,46
"216","bounties",2,2
"217","given",92,65
"218","christian",7,6
"219","majesty",16,15
"220","charity",5,4
"221","therefore",65,44
"222","spare",8,8
"223","first",171,106
"224","extended",16,14
"225","colonies",100,44
"226","surprised",11,11
"227","particularly",31,24
"228","consider",25,20
"229","price",52,32
"230","bread",7,5
"231","home",53,39
"232","assistance",28,22
"233","french",34,22
"234","dutch.the",1,1
"235","crops",9,9
"236","island",84,48
"237","promise",12,9
"238","harvest",7,7
"239","except",40,35
"240","eastward",5,4
"241","ahs",1,1
"242","generally",34,27
"243","considered",45,33
"244","productive",9,9
"245","part.by",1,1
"246","westmoreland",1,1
"247","just",62,53
"248","arrived",145,84
"249","learn",46,35
"250","slaves",42,21
"251","mutinous",2,2
"252","alarming",11,10
"253","degree",34,25
"254","ever",50,43
"255","made",224,121
"256","acquainted",10,10
"257","intended",35,33
"258","abolition",6,6
"259","slave",15,9
"260","trade",76,46
"261","extract",46,44
"262","june",88,36
"263","dreadfully",1,1
"264","alarmed",8,8
"265","scarcity",9,9
"266","throughout",23,20
"267","common",55,38
"268","market",46,26
"269","six",86,68
"270","dollars",49,24
"271","cwt",5,4
"272","bran",1,1
"273","oats",5,4
"274","bushel",10,6
"275","pease",3,3
"276","taken",118,82
"277","quantity",28,26
"278","city",48,36
"279","liberties",2,1
"280","order",82,60
"281","governor",124,61
"282","council",32,18
"283","find",62,43
"284","serve",16,15
"285","ten",57,41
"286","days",87,59
"287","worse",5,5
"288","district",23,21
"289","montreal",48,23
"290","sent",86,63
"291","frequent",5,5
"292","supplies.wheat",1,1
"293","bad",25,22
"294","shipped",6,5
"295","year",118,68
"296","three",166,108
"297","now",228,109
"298","sells",5,5
"299","merchant",19,16
"300","upwards",32,27
"301","fifteen",12,12
"302","hundred",67,46
"303","pounds",20,15
"304","job.government",1,1
"305","relief",20,15
"306","poor",36,26
"307","caused",14,11
"308","issued",24,20
"309","contractor",2,2
"310","rise",18,17
"311","get",49,42
"312","dollar's",2,1
"313","worth",19,17
"314","time",241,117
"315","day",134,84
"316","yesterday",30,26
"317","delivered",12,11
"318","way.in",1,1
"319","letters",41,32
"320","thursday's",1,1
"321","post",20,15
"322","thousand",41,32
"323","bushels",11,7
"324","damaged",3,3
"325","england",103,64
"326","though",75,52
"327","hear",48,18
"328","cargo",27,26
"329","new",390,180
"330","york",82,46
"331","vessel",108,61
"332","call",27,23
"333","brunswick",6,5
"334","probably",28,22
"335","people",196,86
"336","want",53,37
"337","detained",3,3
"338","government",212,108
"339","done",32,27
"340","five",77,59
"341","starving",4,4
"342","condition",41,30
"343","proclamation",24,15
"344","permit",6,6
"345","importation",9,8
"346","states.my",1,1
"347","servant",6,6
"348","come",61,46
"349","baker's",1,1
"350","half",57,34
"351","watching",3,3
"352","hours",26,22
"353","till",42,32
"354","came",56,48
"355","overn",1,1
"356","eighteen-pennyworth",1,1
"357","small",78,63
"358","loaves",1,1
"359","indeed",47,32
"360","weighing",2,2
"361","thirty-five",1,1
"362","shillings",7,5
"363","paid",48,35
"364","lord",80,39
"365","knows",7,7
"366","us–except",1,1
"367","distribute",1,1
"368","troops",62,31
"369","queen.mr",1,1
"370","davidson",3,3
"371","assured",16,14
"372","thursday",35,31
"373","flourin",1,1
"374","country",371,140
"375","weeks",22,19
"376","deal",10,6
"377","pains",5,5
"378","well",149,88
"379","informed",42,39
"380","subjuct",1,1
"381","indebted",6,6
"382","allow",11,10
"383","stood",10,9
"384","forth",15,15
"385","alone",19,16
"386","offered",24,21
"387","expence",22,18
"388","quantities",8,8
"389","insisted",3,3
"390","coinage",7,5
"391","americans",55,35
"392","won",3,3
"393","less",90,62
"394","contracted",5,5
